xovga,xovgb,xovgc,xovgd,xovge,xovgf,xovgg,xovgh,xovgi,xovgj,xovgk,xovgl,xovgm,xovgn,xovgo,xovgp,xovgq,xovgr,xovgs,xovgt,xovgu,xovgv,xovgw,xovgx,xovgy
2872.20043945,2862.11083984,2864.7019043,2869.59570313,2865.21948242,2861.71850586,2871.14013672,2867.88256836,2860.6105957,2869.25878906,2864.03051758,2867.63110352,2861.69360352,2866.15795898,2860.84448242,2862.55126953,2862.93310547,2866.90844727,2861.19775391,2865.48046875,2858.81030273,2870.8293457,2858.10131836,2866.29711914,2861.19775391
2871.16723633,2860.43432617,2863.18701172,2868.98193359,2864.11938477,2860.00683594,2869.89770508,2867.03369141,2859.42919922,2868.34106445,2862.39453125,2866.73120117,2860.04663086,2865.12792969,2859.04760742,2861.14550781,2861.06420898,2865.90405273,2859.44970703,2864.19262695,2856.48681641,2869.63574219,2856.07446289,2865.37255859,2859.05371094
2870.64086914,2859.10961914,2861.87817383,2868.14355469,2862.53857422,2858.52416992,2869.10742187,2865.50585938,2857.46044922,2867.26977539,2860.96020508,2865.71728516,2858.21777344,2863.42114258,2857.13842773,2859.1965332,2859.13989258,2865.23828125,2857.71533203,2862.58740234,2854.32592773,2869.22387695,2854.15917969,2863.73388672,2857.51538086
2869.8762207,2858.04638672,2860.21875,2866.96069336,2861.20996094,2856.8347168,2868.0949707,2864.36474609,2855.66113281,2866.14526367,2859.27954102,2864.42480469,2856.83178711,2861.91381836,2855.5234375,2857.15234375,2857.42333984,2864.03979492,2855.85302734,2861.04516602,2852.37744141,2868.43017578,2852.3269043,2862.94018555,2855.67773438
2868.74804687,2856.59619141,2859.08374023,2866.42993164,2860.28540039,2854.9375,2867.23339844,2863.56420898,2854.01147461,2865.48046875,2857.76928711,2863.88330078,2854.77270508,2860.92675781,2853.60668945,2855.61889648,2855.62109375,2863.36499023,2854.24536133,2859.80493164,2850.60498047,2867.41943359,2850.30200195,2861.54833984,2853.91992187
2867.98168945,2854.71264648,2858.18603516,2865.4519043,2858.89160156,2853.70239258,2866.12255859,2862.76000977,2852.4831543,2864.49536133,2856.35961914,2862.59912109,2853.06054687,2860.02856445,2852.16552734,2854.45507813,2854.13476562,2862.70947266,2852.62329102,2858.4921875,2849.14208984,2866.95483398,2848.91699219,2860.19506836,2852.4934082
2867.37695313,2853.3059082,2857.41235352,2864.43066406,2857.4621582,2851.97607422,2865.23657227,2861.70361328,2850.81860352,2863.54858398,2854.85913086,2862.13525391,2851.48608398,2858.45483398,2850.41577148,2853.31274414,2852.2902832,2861.89746094,2851.07470703,2857.00927734,2847.28662109,2866.28930664,2847.08935547,2858.96606445,2850.56958008
2866.58203125,2852.10766602,2856.02148438,2863.65917969,2856.14526367,2850.56054687,2864.70068359,2860.84521484,2849.41113281,2863.00170898,2853.46118164,2861.3918457,2850.20776367,2857.50073242,2848.82788086,2851.70581055,2850.67358398,2861.01367187,2849.31640625,2856.0534668,2845.50244141,2865.24389648,2845.65673828,2857.72314453,2848.83300781
2866.06616211,2850.5390625,2854.61474609,2862.92553711,2854.9699707,2849.23974609,2863.94189453,2859.66479492,2847.96411133,2862.15820313,2852.03759766,2860.16992187,2849.16137695,2856.21508789,2846.92382813,2850.43212891,2849.07788086,2859.8137207,2848.05541992,2855.19360352,2843.49780273,2864.59765625,2843.68579102,2856.38793945,2847.3449707
2865.4050293,2849.17895508,2853.79492187,2861.92089844,2853.82666016,2848.0222168,2863.16162109,2859.01000977,2846.63012695,2861.75341797,2850.87695313,2859.14941406,2847.90527344,2854.66625977,2845.19873047,2849.23022461,2847.62524414,2858.68994141,2846.46899414,2854.29980469,2841.87255859,2863.53100586,2841.78466797,2855.32958984,2845.77636719
2864.41650391,2847.77270508,2852.91308594,2860.98144531,2852.79614258,2846.29125977,2862.09643555,2857.85253906,2845.50048828,2860.41967773,2849.51000977,2858.29882813,2846.64941406,2853.23608398,2843.45239258,2847.86450195,2846.12939453,2857.72509766,2845.26342773,2853.42822266,2840.30200195,2862.94262695,2840.41821289,2854.22827148,2844.28710938
2863.7043457,2846.6862793,2851.69433594,2860.12011719,2851.46704102,2844.75390625,2861.32763672,2857.00366211,2844.10107422,2859.90136719,2848.5703125,2857.4362793,2845.40307617,2852.03662109,2842.12329102,2846.15307617,2844.47070313,2856.70800781,2843.69287109,2852.17529297,2838.44140625,2862.56030273,2838.53076172,2853.22827148,2843.02685547
2863.18530273,2845.52612305,2850.64892578,2859.66870117,2850.54272461,2843.08886719,2860.64868164,2856.28710938,2842.53320313,2858.6887207,2847.42089844,2856.54443359,2844.18798828,2850.81542969,2840.62255859,2844.90771484,2842.91430664,2855.61376953,2842.13208008,2851.27783203,2837.00024414,2861.96313477,2836.81494141,2851.84716797,2841.47241211
2862.74633789,2844.02587891,2849.40527344,2859.0859375,2849.28393555,2841.62231445,2860.32373047,2855.45678711,2841.1496582,2858.19018555,2845.97460938,2856.04492187,2843.06713867,2849.99438477,2838.91015625,2843.69262695,2841.60449219,2854.88623047,2840.8034668,2850.5390625,2835.453125,2861.27807617,2835.0925293,2850.8737793,2839.88378906
2862.12939453,2842.33618164,2848.33081055,2858.68115234,2848.51000977,2840.58178711,2859.13305664,2854.38208008,2839.7265625,2857.54443359,2844.50585938,2855.2734375,2841.99511719,2848.72753906,2837.47338867,2842.20166016,2840.26660156,2853.78173828,2839.77587891,2849.15332031,2834.02636719,2860.32250977,2833.27392578,2849.49438477,2838.24926758
2861.36425781,2840.99658203,2847.37231445,2858.01196289,2847.21533203,2839.60083008,2858.55297852,2853.48730469,2839.06860352,2856.62280273,2843.17236328,2854.51782227,2840.69824219,2847.71630859,2836.44238281,2840.97216797,2838.83544922,2853.71972656,2838.17749023,2848.13256836,2832.45751953,2859.31176758,2831.51879883,2848.68334961,2837.46362305
