xovga,xovgb,xovgc,xovgd,xovge,xovgf,xovgg,xovgh,xovgi,xovgj,xovgk,xovgl,xovgm,xovgn,xovgo,xovgp,xovgq,xovgr,xovgs,xovgt,xovgu,xovgv,xovgw,xovgx,xovgy
1144.24157715,1121.09899902,1129.4029541,1140.11706543,1128.87963867,1120.40283203,1144.08239746,1127.44689941,1122.84680176,1124.42504883,1117.21911621,1128.21923828,1133.0880127,1125.64147949,1120.39990234,1122.69702148,1117.03393555,1146.66650391,1116.65307617,1120.68981934,1112.26818848,1130.11047363,1119.79382324,1115.91711426,1119.25561523
1145.14855957,1120.54541016,1130.99450684,1141.93554688,1128.4395752,1117.70751953,1145.97949219,1128.19091797,1125.31872559,1124.64086914,1116.82873535,1128.85217285,1134.93713379,1127.36437988,1121.23950195,1123.54504395,1117.93188477,1147.39453125,1117.34191895,1120.42944336,1111.98059082,1130.44873047,1118.17041016,1117.39025879,1119.96081543
1145.41552734,1121.04504395,1131.71362305,1143.9987793,1126.78515625,1115.39868164,1146.42675781,1125.9699707,1126.77148438,1126.52783203,1115.9465332,1130.25720215,1135.69726562,1126.85192871,1120.40539551,1123.55090332,1118.55212402,1145.88562012,1117.48608398,1123.51342773,1110.28344727,1130.57421875,1119.21154785,1119.66259766,1118.87487793
1144.83044434,1121.54406738,1130.60009766,1143.5682373,1126.94750977,1117.9720459,1144.95141602,1128.77722168,1125.92626953,1126.73876953,1117.00671387,1128.73852539,1136.20861816,1126.82055664,1119.73742676,1122.55651855,1119.49353027,1147.14990234,1114.75537109,1123.29089355,1112.33032227,1130.62451172,1118.11376953,1118.80566406,1118.34094238
1145.21228027,1121.24609375,1131.0279541,1143.62487793,1125.96105957,1117.1229248,1144.80114746,1128.52197266,1126.18103027,1124.50622559,1115.81713867,1128.6204834,1136.43603516,1122.40075684,1116.96179199,1122.79284668,1116.42492676,1148.03771973,1115.47021484,1124.75512695,1112.38818359,1131.46923828,1117.54711914,1117.97229004,1118.0501709
1145.16796875,1121.04296875,1130.41040039,1145.16687012,1126.5690918,1115.06616211,1146.14367676,1127.59912109,1124.79675293,1124.5255127,1116.55529785,1128.67553711,1135.93762207,1122.4552002,1116.25793457,1122.28588867,1116.50134277,1148.06018066,1116.87316895,1124.90759277,1111.43933105,1132.24267578,1115.92089844,1119.50964355,1117.16662598
1145.21862793,1120.76318359,1130.07324219,1145.4864502,1128.0579834,1115.87524414,1146.32592773,1127.26135254,1123.70397949,1124.08081055,1116.20227051,1128.33337402,1134.57568359,1124.85217285,1116.94458008,1122.12426758,1116.6282959,1147.42663574,1116.94262695,1124.59375,1112.88537598,1133.58959961,1115.07653809,1120.02429199,1116.36743164
1145.73828125,1121.39245605,1128.76867676,1146.37683105,1128.40759277,1116.26403809,1147.62768555,1126.77783203,1123.17504883,1124.66223145,1116.73120117,1130.08361816,1133.67175293,1124.79223633,1118.55273438,1121.5880127,1114.80505371,1149.03161621,1115.24414062,1124.51123047,1112.37573242,1132.88000488,1115.79736328,1121.859375,1111.24182129
1145.32763672,1121.13085938,1128.55639648,1147.22875977,1128.16601562,1117.29650879,1146.55541992,1122.4732666,1121.48327637,1125.34094238,1115.37536621,1128.84265137,1134.6652832,1126.13305664,1118.80395508,1121.41601562,1114.45349121,1149.45800781,1114.58239746,1121.015625,1112.10534668,1132.16052246,1116.33190918,1122.40625,1110.56481934
1144.57250977,1119.42285156,1129.92871094,1145.17932129,1129.21240234,1119.21923828,1147.28210449,1123.56213379,1121.75097656,1124.27416992,1115.39855957,1128.44812012,1134.18347168,1126.14221191,1117.98620605,1122.24951172,1115.56933594,1149.97888184,1114.60290527,1121.6907959,1113.73962402,1132.66711426,1115.47290039,1122.75683594,1111.58239746
1144.58874512,1118.11120605,1130.14501953,1144.70776367,1127.80517578,1118.0871582,1146.69128418,1122.24450684,1121.12573242,1123.62646484,1115.32006836,1128.71179199,1134.71520996,1126.54968262,1114.52294922,1120.13000488,1116.04174805,1149.85473633,1111.05651855,1123.27868652,1114.52868652,1130.52392578,1115.90563965,1120.73706055,1112.52563477
1145.6619873,1117.74926758,1128.5189209,1143.16174316,1126.16796875,1117.64538574,1146.84423828,1122.85620117,1121.37011719,1122.53234863,1115.88769531,1129.36535645,1132.93395996,1127.75634766,1115.13134766,1121.02807617,1114.95800781,1149.24707031,1109.80773926,1122.57006836,1115.23461914,1128.7479248,1112.7479248,1117.49597168,1113.01062012
1145.74267578,1118.34399414,1130.31494141,1143.65539551,1125.42321777,1119.50463867,1146.05480957,1122.54370117,1123.32507324,1124.32409668,1115.24926758,1126.8939209,1132.97717285,1125.91320801,1115.34655762,1119.0012207,1114.85754395,1150.5501709,1108.95568848,1120.5579834,1113.12365723,1127.81811523,1112.50256348,1116.88195801,1114.22802734
1146.03991699,1117.59191895,1129.51977539,1144.25256348,1124.44689941,1118.93554688,1147.34289551,1122.6328125,1122.85681152,1124.41247559,1114.64465332,1127.91711426,1132.6307373,1124.2746582,1114.95874023,1118.29296875,1114.75219727,1151.24707031,1109.28039551,1119.42993164,1112.66235352,1128.84228516,1112.79284668,1117.06262207,1112.78186035
1144.70605469,1118.44934082,1126.6105957,1143.09741211,1126.43054199,1116.64526367,1147.58361816,1121.78088379,1122.21582031,1123.66247559,1111.60717773,1128.76391602,1133.20739746,1126.16271973,1114.2154541,1116.7142334,1113.38146973,1150.03430176,1109.34436035,1120.63024902,1114.2253418,1129.1060791,1113.96813965,1118.12145996,1111.97302246
1144.47814941,1117.76733398,1124.49926758,1142.91845703,1125.78076172,1117.6184082,1147.30224609,1121.44555664,1120.85449219,1125.70898438,1112.90673828,1128.97668457,1133.11853027,1125.17285156,1114.31787109,1115.6986084,1111.21740723,1149.11938477,1109.4777832,1120.75024414,1111.02624512,1129.34973145,1114.80627441,1118.22375488,1113.03747559
1143.43005371,1118.25976562,1124.82397461,1144.35510254,1127.4128418,1116.11975098,1146.18481445,1121.33776855,1120.82080078,1124.67810059,1115.1842041,1128.5802002,1133.57458496,1123.10766602,1113.18237305,1117.13720703,1107.68994141,1149.15795898,1110.24511719,1121.88354492,1110.20788574,1128.93762207,1111.55004883,1118.97045898,1110.48071289
1144.92407227,1119.22680664,1126.28710938,1145.07165527,1128.1126709,1116.31079102,1145.98718262,1120.60058594,1121.5456543,1123.87207031,1115.29870605,1128.12109375,1134.26489258,1124.54467773,1113.70983887,1118.45617676,1105.74938965,1148.6529541,1109.2980957,1120.76721191,1110.2791748,1128.97045898,1110.7911377,1118.40393066,1109.51489258
1144.22351074,1120.33569336,1125.08117676,1142.82373047,1127.54516602,1116.98522949,1147.26184082,1122.13427734,1120.42004395,1124.85351562,1115.57263184,1127.67041016,1133.43371582,1123.78747559,1114.58483887,1119.24829102,1107.00646973,1147.12036133,1107.42956543,1121.21008301,1110.92053223,1126.55041504,1112.33166504,1119.26306152,1108.5736084
1145.10766602,1120.63513184,1126.9161377,1144.90905762,1128.12316895,1117.68115234,1146.44689941,1123.37573242,1119.3425293,1120.96813965,1112.04846191,1127.89282227,1133.52612305,1123.21350098,1112.58532715,1116.96508789,1107.21826172,1146.97717285,1108.671875,1122.16296387,1107.46472168,1126.0871582,1112.04162598,1119.49023438,1109.28027344
1146.0892334,1120.78259277,1125.66442871,1147.76477051,1126.75927734,1114.89697266,1144.9128418,1124.60974121,1118.31433105,1121.89050293,1110.32983398,1126.75061035,1133.65344238,1122.7989502,1112.61853027,1117.56689453,1108.16381836,1147.69384766,1107.54858398,1121.39477539,1105.39770508,1126.64978027,1110.63183594,1119.23486328,1109.96008301
1145.91027832,1121.41369629,1123.65283203,1148.35083008,1126.76489258,1114.58630371,1144.39831543,1123.96704102,1118.48010254,1118.7701416,1109.21191406,1126.24389648,1133.23706055,1121.12194824,1114.27526855,1115.98205566,1108.30065918,1147.48071289,1107.7434082,1121.35339355,1105.77893066,1123.71655273,1109.8605957,1119.11584473,1112.74487305
1146.8215332,1121.45629883,1123.08959961,1149.55737305,1127.20495605,1113.59631348,1146.74047852,1121.78942871,1119.82397461,1118.46630859,1109.10974121,1124.16418457,1131.80493164,1119.87805176,1111.43554688,1114.96313477,1108.44335938,1146.39233398,1107.09118652,1120.79943848,1107.50097656,1125.27600098,1108.9498291,1119.32507324,1113.83996582
1145.71520996,1121.04931641,1123.27172852,1149.47570801,1126.24523926,1115.08752441,1147.10168457,1123.00073242,1117.69604492,1119.17687988,1107.26550293,1125.92932129,1132.41564941,1119.29394531,1112.81201172,1113.71447754,1107.42541504,1146.92163086,1105.61096191,1120.55297852,1106.93640137,1124.17224121,1109.9362793,1119.20617676,1111.0246582
1145.94116211,1118.28076172,1121.3671875,1150.30383301,1125.37963867,1115.09155273,1147.41540527,1123.28356934,1116.97021484,1119.06469727,1109.7154541,1126.33325195,1133.45141602,1116.5234375,1111.53979492,1113.32775879,1109.61035156,1146.49487305,1107.90063477,1119.765625,1104.19506836,1125.53649902,1108.44592285,1117.99279785,1111.34375
1145.93896484,1117.41931152,1121.23217773,1151.01525879,1124.44433594,1113.54724121,1145.67114258,1124.96398926,1116.52624512,1121.29125977,1111.81103516,1125.02636719,1131.62353516,1116.33447266,1111.99597168,1114.64453125,1108.81237793,1146.02722168,1107.43481445,1118.54211426,1105.48083496,1123.9239502,1105.85888672,1119.56384277,1112.26757812
1146.08959961,1117.06176758,1122.16967773,1146.96032715,1126.16369629,1112.30615234,1147.95593262,1125.55566406,1118.17785645,1123.60546875,1112.63098145,1125.48327637,1129.79821777,1118.42553711,1110.99975586,1114.48803711,1106.35205078,1146.24621582,1105.54174805,1115.76330566,1105.28259277,1125.74536133,1105.51208496,1119.42260742,1107.34936523
1144.68603516,1116.92346191,1122.05187988,1145.26269531,1124.30505371,1111.62145996,1146.22302246,1126.51220703,1117.85302734,1121.70324707,1112.57409668,1124.11132812,1131.47375488,1116.56469727,1113.77160645,1111.83544922,1106.13439941,1147.28051758,1105.7454834,1115.25402832,1105.1685791,1125.59069824,1104.78723145,1119.4342041,1104.5559082
1145.81335449,1115.22070312,1122.78955078,1147.62548828,1121.33825684,1112.57446289,1147.20019531,1125.68859863,1116.95556641,1120.68383789,1108.54052734,1124.11401367,1131.61999512,1117.50549316,1111.27111816,1114.22436523,1105.5020752,1145.12304688,1106.75073242,1117.79614258,1104.93823242,1125.44335938,1105.30566406,1119.04284668,1103.82507324
1146.78710938,1113.90100098,1122.57226562,1147.20373535,1123.34753418,1112.90588379,1147.00415039,1125.53125,1115.98352051,1121.76049805,1110.3704834,1123.94042969,1132.81396484,1115.92102051,1110.10742188,1114.84777832,1104.31896973,1144.62561035,1106.34362793,1119.07421875,1104.11962891,1125.8939209,1105.50830078,1117.18444824,1104.80200195
1146.10510254,1112.80603027,1123.22680664,1148.96008301,1121.10717773,1111.98693848,1147.49121094,1124.36535645,1114.6105957,1122.15808105,1109.23657227,1121.77734375,1133.94128418,1117.5291748,1106.83459473,1114.05273438,1103.90380859,1143.42980957,1105.203125,1118.88085938,1102.9453125,1123.89746094,1105.12365723,1115.1036377,1104.61535645
1146.2989502,1113.25524902,1121.82043457,1149.21716309,1119.96740723,1109.43286133,1146.8359375,1125.66809082,1114.9263916,1118.28356934,1109.38989258,1121.2121582,1131.55480957,1117.06640625,1107.62133789,1112.41027832,1102.39782715,1143.45568848,1103.8494873,1118.21374512,1101.25830078,1125.27209473,1105.78234863,1116.53820801,1105.5715332
1146.11938477,1111.61474609,1121.29455566,1147.82385254,1120.49255371,1110.76074219,1146.18591309,1126.08886719,1115.90161133,1117.17980957,1109.94226074,1119.80725098,1133.60192871,1113.75024414,1107.32519531,1109.95800781,1104.4855957,1142.59265137,1103.80371094,1118.30895996,1100.78295898,1126.52160645,1103.34008789,1117.18286133,1107.01623535
