xovga,xovgb,xovgc,xovgd,xovge,xovgf,xovgg,xovgh,xovgi,xovgj,xovgk,xovgl,xovgm,xovgn,xovgo,xovgp,xovgq,xovgr,xovgs,xovgt,xovgu,xovgv,xovgw,xovgx,xovgy
1538.96459961,1523.24938965,1525.08691406,1541.0838623,1524.57299805,1544.37475586,1538.78613281,1533.31018066,1544.9909668,1534.96289062,1528.9140625,1530.47766113,1536.81347656,1531.55957031,1525.07470703,1546.85412598,1525.71496582,1536.73181152,1529.20422363,1533.93505859,1535.60742188,1538.59936523,1522.51574707,1526.75561523,1542.73059082
1541.3170166,1525.6940918,1525.64160156,1543.23242188,1526.95007324,1546.70959473,1541.77087402,1535.54846191,1546.79736328,1537.50561523,1531.07434082,1531.859375,1539.18286133,1533.20751953,1525.61071777,1550.04125977,1528.02685547,1539.1270752,1532.13366699,1535.38342285,1536.76184082,1541.49169922,1523.66906738,1529.10644531,1545.58154297
1543.5625,1527.08007812,1527.46948242,1546.13830566,1528.68652344,1549.72009277,1544.24645996,1537.70471191,1549.7076416,1540.14831543,1532.54260254,1534.22570801,1541.40283203,1535.25585938,1526.35046387,1552.97631836,1528.73828125,1542.0234375,1534.48840332,1537.39562988,1539.08227539,1543.83129883,1524.65869141,1531.37927246,1548.15856934
1545.41308594,1529.88220215,1530.27270508,1549.2199707,1531.57336426,1551.51550293,1546.72961426,1540.29602051,1553.18664551,1542.49975586,1532.92382812,1535.64526367,1543.05859375,1537.25048828,1526.52453613,1555.3737793,1530.46459961,1544.6763916,1535.96911621,1538.80847168,1540.84008789,1546.34741211,1526.34729004,1533.77246094,1550.47119141
1547.30419922,1532.02722168,1532.55383301,1551.3548584,1533.94287109,1554.40856934,1548.97766113,1542.22888184,1555.57983398,1545.35327148,1534.39807129,1538.35620117,1544.78625488,1539.08459473,1528.73522949,1557.40795898,1532.37084961,1546.67041016,1537.83618164,1540.43078613,1542.95361328,1548.28503418,1528.01184082,1535.40539551,1552.75256348
1550.23803711,1533.71044922,1533.73657227,1554.27111816,1535.66711426,1556.95910645,1550.61022949,1544.6607666,1557.68395996,1546.73718262,1535.27941895,1540.67956543,1547.37255859,1540.92895508,1530.3236084,1559.73327637,1534.93811035,1548.52746582,1539.56652832,1542.00708008,1545.3996582,1550.1842041,1529.33044434,1536.328125,1555.13500977
1552.85437012,1535.97485352,1535.70935059,1556.51586914,1537.04345703,1559.05175781,1552.60864258,1547.07727051,1558.86645508,1548.75585938,1537.4074707,1541.83435059,1549.42590332,1543.25708008,1531.81591797,1561.65454102,1537.30773926,1550.18676758,1541.38793945,1543.57336426,1546.44946289,1552.11364746,1530.41589355,1537.35388184,1557.45068359
1554.91394043,1537.83520508,1536.60290527,1557.87634277,1538.43603516,1561.30383301,1553.86230469,1548.78637695,1560.90112305,1551.14990234,1539.00268555,1544.18774414,1551.56750488,1544.48522949,1533.27758789,1563.52770996,1539.52233887,1552.08361816,1543.57556152,1544.89501953,1547.26586914,1553.8425293,1531.63171387,1537.86901855,1559.95373535
1556.55786133,1538.63684082,1537.8659668,1560.48693848,1539.72937012,1563.36376953,1555.25878906,1549.94836426,1563.19677734,1553.18591309,1540.62316895,1545.98901367,1553.68261719,1546.09228516,1535.10827637,1565.35400391,1541.61352539,1555.20837402,1544.92883301,1546.6159668,1548.22485352,1555.4309082,1531.46618652,1540.13098145,1562.95349121
1558.62512207,1538.62731934,1539.13232422,1562.18603516,1541.12866211,1565.06152344,1556.74584961,1551.05810547,1565.05993652,1554.74853516,1541.78601074,1547.38439941,1555.59423828,1548.31262207,1536.67614746,1567.6652832,1543.44750977,1556.65197754,1546.38256836,1548.57385254,1549.89587402,1556.96374512,1533.24829102,1541.14807129,1564.65795898
