xovga,xovgb,xovgc,xovgd,xovge,xovgf,xovgg,xovgh,xovgi,xovgj,xovgk,xovgl,xovgm,xovgn,xovgo,xovgp,xovgq,xovgr,xovgs,xovgt,xovgu,xovgv,xovgw,xovgx,xovgy
990.02722168,966.667663574,977.239746094,965.513061523,982.142272949,968.984619141,961.716003418,978.125976562,968.396362305,977.102416992,975.675720215,978.269470215,963.475646973,977.544067383,967.955810547,972.113220215,971.809143066,970.979248047,971.55847168,985.322814941,972.136230469,977.58782959,965.646118164,976.698059082,974.947570801
990.58380127,967.688110352,977.553955078,966.625488281,983.864257813,970.569458008,962.188537598,979.756469727,969.526977539,979.183410645,976.822143555,980.100585938,963.640319824,979.608520508,969.309082031,971.395751953,972.581604004,972.818725586,970.228637695,984.320556641,973.499450684,976.129394531,966.903991699,979.391235352,974.887084961
992.515319824,968.269470215,976.802612305,966.100219727,984.001342773,972.383422852,963.135437012,980.889282227,969.705566406,977.958007812,976.855407715,980.785461426,964.304199219,979.295959473,969.691650391,972.735229492,973.268859863,974.010253906,970.754638672,984.281555176,973.835693359,977.009765625,967.360595703,980.823669434,974.551147461
992.753356934,967.978149414,976.010681152,967.859924316,984.772521973,973.648864746,965.485656738,982.608703613,969.228393555,977.963378906,976.44921875,980.650756836,963.597473145,980.081420898,968.822509766,974.936035156,973.556884766,976.467895508,971.991821289,984.707885742,975.504943848,979.011230469,966.770690918,980.332641602,975.458251953
995.645385742,967.864257813,976.014038086,968.927612305,987.743896484,975.735778809,967.131652832,983.191101074,970.088745117,979.264526367,978.157592773,982.265930176,964.276855469,980.637634277,968.55847168,975.70526123,973.952392578,977.772399902,972.81060791,985.604064941,975.184326172,980.891418457,966.953125,979.621826172,976.843322754
997.749023438,968.938232422,977.179931641,969.684448242,989.992431641,976.696350098,968.321777344,984.70892334,971.141357422,981.727783203,980.374938965,981.698730469,966.392150879,980.94342041,968.909423828,977.179077148,972.835388184,979.206481934,973.4765625,983.619750977,975.72857666,981.532775879,967.187011719,981.085144043,977.561035156
1000.72479248,969.415283203,978.091003418,970.807556152,991.344787598,976.348449707,969.913085938,986.039367676,971.767028809,981.201904297,980.977905273,983.063842773,966.950500488,980.208862305,970.335327148,978.725341797,971.86517334,979.057678223,973.699035645,985.245483398,976.760620117,981.039855957,967.190673828,981.572509766,977.88873291
1001.4083252,968.277038574,978.212158203,972.214233398,991.390808105,977.882141113,967.75378418,984.901306152,972.667053223,982.177246094,981.729248047,984.499267578,968.824157715,980.614196777,970.331726074,980.079101562,972.30871582,981.232727051,974.647766113,987.012023926,976.503295898,980.155700684,968.72833252,982.837463379,978.711608887
1003.80834961,967.787109375,978.161743164,972.954101562,992.751647949,976.719482422,967.907653809,985.552246094,973.378295898,982.601928711,980.040649414,983.459899902,969.474365234,981.624206543,969.930480957,980.165527344,973.273132324,980.69140625,974.704040527,986.945251465,975.806518555,978.919372559,968.449584961,981.895263672,978.021789551
1004.3026123,967.073608398,978.836730957,973.28137207,991.987304688,975.974487305,968.411132812,988.543334961,972.718811035,984.432922363,981.055358887,985.553405762,970.644592285,983.666809082,969.645507812,982.289367676,973.166564941,981.343444824,976.717041016,987.671081543,976.561523438,978.984924316,968.127868652,980.947814941,977.462341309
